Category,Artist,Song Title,Listener Vibe/Context
Recovery (NA),Eminem,Not Afraid,The Coming Clean Anthem
Recovery (NA),Macklemore & Ryan Lewis,Starting Over,Relapse and Resilience
Recovery (NA),Kelly Clarkson,Sober,The 3-Month Milestone
Recovery (NA),Linkin Park,Breaking the Habit,Millennial emo-recovery classic
Recovery (NA),Florence + The Machine,Shake It Out,Drowning out the demons
Recovery (NA),James Arthur,Recovery,Personal ownership of the journey
Recovery (NA),Natasha Bedingfield,Recover,Hope and healing after the fire
Recovery (NA),Sia,Chandelier,The reality of the party lifestyle
Recovery (NA),Demi Lovato,Old Ways,Refusing to go back
Recovery (NA),Pink,Sober,Finding comfort in clarity
Millennial Nostalgia,The Killers,Mr Brightside,The millennial national anthem
Millennial Nostalgia,Natasha Bedingfield,Unwritten,The coming of age feeling
Millennial Nostalgia,Fall Out Boy,Sugar We're Goin Down,Middle school dance energy
Millennial Nostalgia,Britney Spears,Toxic,Pure Y2K pop perfection
Millennial Nostalgia,Panic! At The Disco,I Write Sins Not Tragedies,The emo-pop transition
Millennial Nostalgia,Vanessa Carlton,A Thousand Miles,The stuck in traffic singalong
Millennial Nostalgia,Gwen Stefani,Hollaback Girl,2005 school spirit
Millennial Nostalgia,Usher ft. Lil Jon,Yeah!,The ultimate club throwback
Millennial Nostalgia,Kelly Clarkson,Since U Been Gone,The post-breakup shout-along
Millennial Nostalgia,Avril Lavigne,Sk8er Boi,Early 2000s angst
Classics & Hits,Fleetwood Mac,Dreams,The vibe that never dies
Classics & Hits,Journey,Don't Stop Believin',The universal closer
Classics & Hits,Queen,Bohemian Rhapsody,The multi-generational epic
Classics & Hits,Earth Wind & Fire,September,Instant mood lifter
Classics & Hits,The Police,Every Breath You Take,The 80s staple
Classics & Hits,Miley Cyrus,Flowers,The modern self-love classic
Classics & Hits,The Weeknd,Blinding Lights,The synth-pop resurgence
Classics & Hits,Harry Styles,As It Was,The 2020s essential
Classics & Hits,Coldplay,Yellow,The stadium singalong
Soft / Comfort,Sia,Holding in the Sky,Tenderness
Recovery (NA),Ed Sheeran,Returning in the City,Honest mirror
Millennial Nostalgia,Toto ft. AC/DC,Breathing in the Garden,Old hoodie comfort
Heartbreak,Doja Cat,Electric City,Crying in the shower
Classics & Hits,David Bowie ft. NF,Honey Storm,Iconic riff
Recovery (NA),Sufjan Stevens,Quiet Secret,White-knuckle courage — 3PM brain on overtime
Classics & Hits,Diplo,Neon Habit,Iconic riff
Millennial Nostalgia,Stevie Wonder ft. Alicia Keys,Cosmic Room,Y2K pop perfection
Heartbreak,Glass Animals,Breathing in the Habit,Sad but pretty
Classics & Hits,The Doors,Bright Prayer,Instant mood lift
Karaoke Bangers,Imagine Dragons ft. The Killers,Waiting in the Secret,Bridge hits different
Millennial Nostalgia,Katy Perry,Midnight Ghost,Throwback serotonin
3AM / Existential,The Weeknd ft. Elton John,Waiting in the Shadow,Lonely but cinematic — 3PM brain on overtime
Millennial Nostalgia,David Bowie ft. NF,Someone Like You,Emo-pop transition
Recovery (NA),Kanye West ft. The Weeknd,Surviving in the Ocean,One day at a time
Soft / Comfort,Kacey Musgraves,Hey Ya,Low-stim serenity
Heartbreak,Madonna,Rising in the Doubt,Late-night spiral
Chill / Indie,Eminem,Bye Bye Bye,Window-seat thoughts
